"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_7_length_3239_cov_51.379397_324_6_1|TTV_Clade3","R04","51.379397",NA,0.0960967097920236,NA,NA,NA,NA,NA,0.0907537274424877,NA,1.57372508596473e-06,NA
"R04D02-TTVRCA_S6_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_9_length_3081_cov_15.848645_335_5_1|TTV_Clade4","R04","15.848645",0.000218298431342246,0.0330357002499489,NA,NA,NA,NA,NA,0.000191076160366659,NA,NA,NA
"R05D01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3062_cov_385.677752_304_4_1|TTV_Clade6","R05","385.677752",0.421738979641383,NA,NA,NA,NA,NA,NA,NA,0.0187804935697144,NA,NA
"R05D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3552_cov_240.207035_878_5_1|TTV_Clade5","R05","240.207035",NA,NA,NA,0.820469973890339,NA,NA,0.00100888018943909,NA,NA,0.00340636856259808,0.0103146196504717
"R05D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3485_cov_46.852770_373_1_1|TTV_Clade3","R05","46.852770",NA,NA,NA,0.151749347258486,NA,1.46901768256585e-06,NA,NA,0.000123539847936336,2.64566543390548e-05,NA
"R05D05_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3155_cov_9115.565484_464_5_1|TTV_Clade7","R05","9115.565484",NA,NA,NA,NA,0.742945182812026,NA,NA,0.26610652857469,2.19301505212431e-06,NA,NA
"R05D05_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3150_cov_3042.210016_463_4_1|TTV_Clade5","R05","3042.210016",NA,NA,NA,NA,0.253105732569102,0.00371955277225672,NA,NA,0.0695724278552873,NA,NA
"R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_32_length_2616_cov_56.931277_431_5_1|TLMV","R05","56.931277",NA,NA,NA,NA,NA,0.000669872063250025,NA,NA,0.00109796953609691,3.00238436881408e-05,NA
"R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_34_length_2553_cov_1246.543635_282_3_1|TTMV","R05","1246.543635",NA,NA,NA,NA,NA,0.0164015824258477,NA,NA,0.125070572442719,NA,NA
"R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_38_length_2499_cov_6523.196399_257_2_1|TTMV","R05","6523.196399",NA,NA,NA,NA,NA,0.0606611265113131,NA,NA,0.000817019941085869,0.013704992846299,NA
"R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_39_length_2498_cov_4538.726156_205_4_1|TTMV","R05","4538.726156",NA,NA,NA,NA,NA,0.0546293399066978,NA,NA,0.0611010543772702,0.0599219439517264,NA
"R05D06_VL46-0475-05292019|NODE_1_length_8422_cov_559.667742_271_1_1|TLMV","R05","559.667742",NA,NA,NA,NA,NA,0.00305751546998038,NA,NA,NA,NA,5.05402001723338e-05
"R05D06_VL46-0475-05292019|NODE_10_length_3011_cov_369.873139_571_1_1|TLMV","R05","369.873139",NA,NA,NA,NA,NA,0.00235483534515305,NA,NA,NA,0.000456154338014378,0.000155210887960938
"R05D06_VL46-0475-05292019|NODE_11_length_3001_cov_209.741005_388_4_1|TTV_Clade5","R05","209.741005",NA,NA,NA,NA,NA,0.00144698241732736,NA,NA,0.00364600935832623,NA,NA
"R05D06_VL46-0475-05292019|NODE_12_length_2993_cov_255.557182_541_1_1|TLMV","R05","255.557182",NA,NA,NA,NA,NA,0.00152435068194249,NA,NA,7.43188434331017e-05,NA,NA
